ulasan_asli;kategori;preprocessed_text;tokens_count
Pelayanannya sangat lambat, nunggu pesanan sampai satu jam lebih.;pelayanan;layan sangat lambat tunggu pesan satu jam lebih;8
Staff kasir tidak ramah, wajahnya jutek pas melayani pelanggan.;pelayanan;staff kasir tidak ramah wajah jutek pas layan langgan;9
Meja belum dibersihkan padahal sudah kosong lama, jorok sekali.;pelayanan;meja belum bersih padahal kosong lama jorok sekali;8
Pesan lewat aplikasi tapi dibatalin sepihak tanpa alasan jelas.;pelayanan;pesan lewat aplikasi dibatalin pihak tanpa alas jelas;8
Pelayannya kurang fokus, pesanan saya tertukar dengan meja lain.;pelayanan;layan kurang fokus pesan tukar meja;6
Minta alat makan tapi nggak dikasih-kasih sampai makanan dingin.;pelayanan;minta alat makan tidak kasih kasih makan dingin;8
Baristanya asik ngobrol sendiri padahal antrian sudah panjang.;pelayanan;baristanya asik ngobrol sendiri padahal antri panjang;7
Sangat kecewa dengan respon staff saat saya komplain soal pesanan.;pelayanan;sangat kecewa respon staff komplain soal pesan;7
Sudah nunggu lama, ternyata pesanan saya lupa dicatat.;pelayanan;tunggu lama nyata pesan lupa catat;6
Staff di depan cuek banget, tidak ada sambutan sama sekali.;pelayanan;staff depan cuek sangat tidak sambut sama sekali;8
Gohyongnya keras banget, kayak sudah digoreng berulang kali.;produk;gohyongnya keras sangat kayak goreng ulang kali;7
Rasa kopinya hambar, cuma terasa air dan gula saja.;produk;rasa kopi hambar cuma asa air gula;7
Ayam kalasannya masih agak mentah dan ada darahnya di tulang.;produk;ayam kalas mentah darah tulang;5
Pisang kejunya porsinya dikit banget, nggak sesuai ekspektasi.;produk;pisang keju porsi dikit sangat tidak sesuai ekspektasi;8
Risol mayo sudah bau asam, sepertinya sudah basi atau kelamaan.;produk;risol mayo bau asam seperti basi lama;7
Minumannya tumpah di plastik karena tutupnya tidak rapat.;produk;minum tumpah plastik tutup tidak rapat;6
Sandwich rotinya bantet dan susah dikunyah, sangat kecewa.;produk;sandwich roti bantet susah kunyah sangat kecewa;7
Cirengnya terlalu berminyak, bikin sakit tenggorokan.;produk;cirengnya terlalu minyak bikin sakit tenggorok;6
Tahu gejrotnya keasinan parah, nggak bisa dimakan sama sekali.;produk;tahu gejrotnya asin parah tidak makan sama sekali;8
Ada rambut di dalam makanan, sangat menjijikkan dan tidak higienis.;produk;rambut makan sangat jijik tidak higienis;6
WiFi-nya mati terus, padahal niat ke sini buat kerja.;suasana;wifi nya mati terus padahal niat sini buat kerja;9
